2017-03-31 19:07:26,281 | WARN  | Transport Connection to: tcp://127.0.0.1:51040 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:51040@61616
2017-03-31 19:07:26,281 | WARN  | Transport Connection to: tcp://127.0.0.1:50925 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50925@61616
2017-03-31 19:07:26,281 | WARN  | Transport Connection to: tcp://127.0.0.1:50977 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50977@61616
2017-03-31 19:07:26,281 | WARN  | Transport Connection to: tcp://127.0.0.1:50923 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50923@61616
2017-03-31 19:07:26,281 | WARN  | Transport Connection to: tcp://127.0.0.1:50974 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50974@61616
2017-03-31 19:07:26,281 | WARN  | Transport Connection to: tcp://127.0.0.1:50921 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50921@61616
2017-03-31 19:07:26,281 | WARN  | Transport Connection to: tcp://127.0.0.1:50971 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50971@61616
2017-03-31 19:07:26,280 | WARN  | Transport Connection to: tcp://127.0.0.1:51030 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:51030@61616
2017-03-31 19:07:26,280 | WARN  | Transport Connection to: tcp://127.0.0.1:50918 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50918@61616
2017-03-31 19:07:26,280 | WARN  | Transport Connection to: tcp://127.0.0.1:51032 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:51032@61616
2017-03-31 19:07:26,280 | WARN  | Transport Connection to: tcp://127.0.0.1:51028 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:51028@61616
2017-03-31 19:07:26,280 | WARN  | Transport Connection to: tcp://127.0.0.1:50915 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50915@61616
2017-03-31 19:07:26,280 | WARN  | Transport Connection to: tcp://127.0.0.1:51027 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:51027@61616
2017-03-31 19:07:26,280 | WARN  | Transport Connection to: tcp://127.0.0.1:51077 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:51077@61616
2017-03-31 19:07:26,279 | WARN  | Transport Connection to: tcp://127.0.0.1:50914 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50914@61616
2017-03-31 19:07:26,279 | WARN  | Transport Connection to: tcp://127.0.0.1:50965 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50965@61616
2017-03-31 19:07:26,279 | WARN  | Transport Connection to: tcp://127.0.0.1:50912 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50912@61616
2017-03-31 19:07:26,279 | WARN  | Transport Connection to: tcp://127.0.0.1:51075 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:51075@61616
2017-03-31 19:07:26,279 | WARN  | Transport Connection to: tcp://127.0.0.1:50911 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50911@61616
2017-03-31 19:07:26,279 | WARN  | Transport Connection to: tcp://127.0.0.1:50976 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50976@61616
2017-03-31 19:07:26,279 | WARN  | Transport Connection to: tcp://127.0.0.1:50963 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50963@61616
2017-03-31 19:07:26,279 | WARN  | Transport Connection to: tcp://127.0.0.1:51020 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:51020@61616
2017-03-31 19:07:26,279 | WARN  | Transport Connection to: tcp://127.0.0.1:50908 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50908@61616
2017-03-31 19:07:26,278 | WARN  | Transport Connection to: tcp://127.0.0.1:51015 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:51015@61616
2017-03-31 19:07:26,278 | WARN  | Transport Connection to: tcp://127.0.0.1:50906 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50906@61616
2017-03-31 19:07:26,278 | WARN  | Transport Connection to: tcp://127.0.0.1:51070 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:51070@61616
